quiz_id,item_key,label,answer,category,extra_json
rekishi,himiko,邪馬台国,邪馬台国,古代,"{""hint"":""3世紀ごろ、女王卑弥呼が治めていたとされる国。魏に使いを送り「親魏倭王」の称号を得た"",""person"":""卑弥呼"",""achievement"":""魏に使いを送り、「親魏倭王」の称号と金印を授けられた""}"
rekishi,jushichijo,十七条の憲法,十七条の憲法,古代,"{""hint"":""604年、役人の心構えを示すために定められたきまり"",""year"":604,""person"":""聖徳太子"",""achievement"":""十七条の憲法や冠位十二階を定め、天皇中心の政治を目指した""}"
rekishi,kaniijunikai,冠位十二階,冠位十二階,古代,"{""hint"":""603年、家柄によらず能力のある人を役人に取り立てるために定められた制度"",""year"":603}"
rekishi,kenzuishi,遣隋使,遣隋使,古代,"{""hint"":""607年、小野妹子らが中国の進んだ制度や文化を学ぶために派遣された使節"",""year"":607,""person"":""小野妹子"",""achievement"":""607年、遣隋使として隋にわたった""}"
rekishi,taika,大化の改新,大化の改新,古代,"{""hint"":""645年、蘇我氏を倒して始まった、天皇中心の国づくりを目指す政治改革"",""year"":645,""person"":""中大兄皇子"",""achievement"":""中臣鎌足とともに蘇我氏を倒し、大化の改新を進めた""}"
rekishi,taihoritsuryo,大宝律令,大宝律令,古代,"{""hint"":""701年に完成した、律と令からなる国の基本法典"",""year"":701}"
rekishi,heijokyo,平城京,平城京,古代,"{""hint"":""710年に奈良につくられた、唐の長安にならった都"",""year"":710}"
rekishi,konden,墾田永年私財法,墾田永年私財法,古代,"{""hint"":""743年、新しく開墾した土地の永久私有を認めた法。公地公民の原則がくずれるきっかけになった"",""year"":743}"
rekishi,todaiji,東大寺の大仏,東大寺の大仏,古代,"{""hint"":""752年に開眼供養が行われた、仏教の力で国を守ろうとしてつくられた大仏"",""year"":752,""person"":""聖武天皇"",""achievement"":""仏教の力で国を守ろうと、国分寺と東大寺の大仏をつくらせた""}"
rekishi,heiankyo,平安京,平安京,古代,"{""hint"":""794年に京都につくられ、以後約400年にわたって都となった"",""year"":794}"
rekishi,kentoshi-teishi,遣唐使の停止,遣唐使の停止,古代,"{""hint"":""894年、唐のおとろえと航海の危険を理由に取りやめられた"",""year"":894,""person"":""菅原道真"",""achievement"":""894年、遣唐使の停止を提案した""}"
rekishi,sekkan,摂関政治,摂関政治,古代,"{""hint"":""藤原氏が娘を天皇のきさきにし、摂政・関白として実権をにぎった政治"",""person"":""藤原道長"",""achievement"":""4人の娘を天皇のきさきにし、摂関政治の全盛期を築いた""}"
rekishi,byodoin,平等院鳳凰堂,平等院鳳凰堂,古代,"{""hint"":""1053年、藤原頼通が宇治に建てた阿弥陀堂。浄土信仰を代表する建物"",""year"":1053,""person"":""藤原頼通"",""achievement"":""宇治に平等院鳳凰堂を建てた""}"
rekishi,dajodaijin-kiyomori,平清盛,平清盛,中世,"{""hint"":""1167年に武士として初めて太政大臣となり、日宋貿易を進めた人物"",""year"":1167,""person"":""平清盛"",""achievement"":""武士として初めて太政大臣となり、兵庫の港を整えて日宋貿易を行った""}"
rekishi,dannoura,壇ノ浦の戦い,壇ノ浦の戦い,中世,"{""hint"":""1185年、現在の山口県で平氏がほろんだ戦い"",""year"":1185}"
rekishi,seiitaishogun,源頼朝,源頼朝,中世,"{""hint"":""1192年に征夷大将軍に任じられ、鎌倉に幕府を開いた人物"",""year"":1192,""person"":""源頼朝"",""achievement"":""守護・地頭を置き、鎌倉に幕府を開いた""}"
rekishi,jokyu,承久の乱,承久の乱,中世,"{""hint"":""1221年、後鳥羽上皇が幕府をたおそうとして起こしたが敗れた戦い"",""year"":1221}"
rekishi,goseibai,御成敗式目,御成敗式目,中世,"{""hint"":""1232年に定められた、武士の慣習をもとにした初めての武家法"",""year"":1232,""person"":""北条泰時"",""achievement"":""執権として御成敗式目を定めた""}"
rekishi,bunei,文永の役,文永の役,中世,"{""hint"":""1274年、元と高麗の軍が北九州にせめてきた最初の元寇"",""year"":1274}"
rekishi,koan,弘安の役,弘安の役,中世,"{""hint"":""1281年、元が再び北九州にせめてきた二度目の元寇"",""year"":1281,""person"":""北条時宗"",""achievement"":""執権として二度の元寇を退けた""}"
rekishi,kenmu,建武の新政,建武の新政,中世,"{""hint"":""1334年から始まった、鎌倉幕府をたおした天皇による政治。武士の不満で2年余りで失敗した"",""year"":1334,""person"":""後醍醐天皇"",""achievement"":""鎌倉幕府をたおし、建武の新政を行った""}"
